Index,Stream,OpDirn,ByteSize,Locality,Reg_Addr,Reg_Name,Reg_Payload,Tag,CmdSize,CmdCode/ResponseCode,Cmd_Name/Response_Name,Cmd_Payload/Response_Payload
147,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
148,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
148,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
149,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
149,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
150,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
150,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
151,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
151,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
152,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
152,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
153,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
153,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
154,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
154,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
155,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
155,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
156,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
156,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
157,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
157,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
158,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
158,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
159,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
159,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
160,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
160,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
161,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
161,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
162,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
162,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
163,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
163,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
164,MOSI,READ,1,0,0x018,TPM_STS,00,,,,,
164,MISO,READ,1,0,0x018,TPM_STS,80,,,,,
165,MOSI,READ,1,0,0x01C,RESERVED,00,,,,,
165,MISO,READ,1,0,0x01C,RESERVED,80,,,,,
